category,folder_name,movie_name,year,relative_path,parse_status,note
原盘,走到尽头.2014.MULTi.COMPLETE.BLURAY-GMB,走到尽头,2014,原盘/走到尽头.2014.MULTi.COMPLETE.BLURAY-GMB,OK,
原盘压制（动画）,丁丁历险记.2011.1080p.BluRay.x264.DTS-WiKi,丁丁历险记,2011,原盘压制（动画）/丁丁历险记.2011.1080p.BluRay.x264.DTS-WiKi,OK,
原盘压制（动画）,乐高蝙蝠侠大电影.2017.1080p.BluRay.x264.TrueHD.7.1.Atmos-FGT,乐高蝙蝠侠大电影,2017,原盘压制（动画）/乐高蝙蝠侠大电影.2017.1080p.BluRay.x264.TrueHD.7.1.Atmos-FGT,OK,
原盘压制（动画）,兰戈.2011.UHD.BluRay.2160p.x265.10bit.DoVi.mUHD-FRDS,兰戈,2011,原盘压制（动画）/兰戈.2011.UHD.BluRay.2160p.x265.10bit.DoVi.mUHD-FRDS,OK,
原盘压制（动画）,冰川时代5.星际碰撞.2016.1080p.BluRay.x264.DTS-WiKi,冰川时代5 星际碰撞,2016,原盘压制（动画）/冰川时代5.星际碰撞.2016.1080p.BluRay.x264.DTS-WiKi,OK,
原盘压制（动画）,功夫熊猫.2008.UHD.BluRay.2160p.x265.10bit.HDR.4Audio.mUHD-FRDS,功夫熊猫,2008,原盘压制（动画）/功夫熊猫.2008.UHD.BluRay.2160p.x265.10bit.HDR.4Audio.mUHD-FRDS,OK,
原盘压制（动画）,功夫熊猫2.2011.1080p.BluRay.x264.DTS-FGT,功夫熊猫2,2011,原盘压制（动画）/功夫熊猫2.2011.1080p.BluRay.x264.DTS-FGT,OK,
原盘压制（动画）,功夫熊猫3.2016.1080p.BluRay.x264.DTS-WiKi,功夫熊猫3,2016,原盘压制（动画）/功夫熊猫3.2016.1080p.BluRay.x264.DTS-WiKi,OK,
原盘压制（动画）,功夫熊猫4.2024.UHD.BluRay.2160p.x265.10bit.DoVi.3Audio.mUHD-FRDS,功夫熊猫4,2024,原盘压制（动画）/功夫熊猫4.2024.UHD.BluRay.2160p.x265.10bit.DoVi.3Audio.mUHD-FRDS,OK,
原盘压制（动画）,名侦探柯南.异次元的狙击手.2014.BluRay.1080p.x264.DD5.1-HDWinG,名侦探柯南 异次元的狙击手,2014,原盘压制（动画）/名侦探柯南.异次元的狙击手.2014.BluRay.1080p.x264.DD5.1-HDWinG,OK,
